date,total_doses_daily,total_doses_7day_avg
2020-12-15,5,
2020-12-16,150,
2020-12-17,1996,
2020-12-18,5675,
2020-12-19,3430,
2020-12-20,961,
2020-12-21,4460,2382.4285714285716
2020-12-22,3654,2903.714285714286
2020-12-23,2762,3276.8571428571427
2020-12-24,935,3125.285714285714
2020-12-25,2,2314.8571428571427
2020-12-26,466,1891.4285714285713
2020-12-27,10,1755.5714285714287
2020-12-28,2206,1433.5714285714287
2020-12-29,3968,1478.4285714285713
2020-12-30,4873,1780.0
2020-12-31,1801,1903.7142857142858
2021-01-01,43,1909.5714285714287
2021-01-02,1373,2039.142857142857
2021-01-03,1107,2195.8571428571427
2021-01-04,3629,2399.1428571428573
2021-01-05,4182,2429.714285714286
2021-01-06,3883,2288.285714285714
2021-01-07,5923,2877.1428571428573
2021-01-08,8755,4121.714285714285
2021-01-09,4149,4518.285714285715
2021-01-10,1403,4560.571428571428
2021-01-11,5732,4861.0
2021-01-12,6673,5216.857142857143
2021-01-13,6526,5594.428571428572
2021-01-14,4662,5414.285714285715
2021-01-15,4213,4765.428571428572
2021-01-16,3033,4606.0
2021-01-17,1244,4583.285714285715
2021-01-18,4281,4376.0
2021-01-19,5874,4261.857142857143
2021-01-20,7923,4461.428571428572
2021-01-21,10262,5261.428571428572
2021-01-22,9330,5992.428571428572
2021-01-23,4680,6227.714285714285
2021-01-24,1592,6277.428571428572
2021-01-25,7517,6739.714285714285
2021-01-26,9197,7214.428571428572
2021-01-27,10935,7644.714285714285
2021-01-28,11411,7808.857142857143
2021-01-29,11452,8112.0
2021-01-30,6257,8337.285714285714
2021-01-31,2103,8410.285714285714
2021-02-01,7584,8419.857142857143
2021-02-02,11431,8739.0
2021-02-03,12298,8933.714285714286
2021-02-04,14365,9355.714285714286
2021-02-05,15755,9970.42857142857
2021-02-06,8658,10313.42857142857
2021-02-07,2876,10423.857142857143
2021-02-08,9770,10736.142857142857
2021-02-09,11448,10738.57142857143
2021-02-10,16336,11315.42857142857
2021-02-11,18024,11838.142857142857
2021-02-12,16670,11968.857142857143
2021-02-13,11445,12367.0
2021-02-14,3517,12458.57142857143
2021-02-15,8241,12240.142857142857
2021-02-16,7907,11734.285714285714
2021-02-17,12907,11244.42857142857
2021-02-18,14684,10767.285714285714
2021-02-19,14024,10389.285714285714
2021-02-20,8367,9949.57142857143
2021-02-21,3467,9942.42857142857
2021-02-22,10626,10283.142857142857
2021-02-23,14205,11182.857142857143
2021-02-24,15432,11543.57142857143
2021-02-25,18348,12067.0
2021-02-26,19709,12879.142857142857
2021-02-27,14953,13820.0
2021-02-28,6743,14288.0
2021-03-01,12674,14580.57142857143
2021-03-02,14942,14685.857142857143
2021-03-03,18219,15084.0
2021-03-04,17364,14943.42857142857
2021-03-05,18375,14752.857142857143
2021-03-06,12099,14345.142857142857
2021-03-07,4058,13961.57142857143
2021-03-08,12155,13887.42857142857
2021-03-09,16066,14048.0
2021-03-10,12245,13194.57142857143
