zip_code,total_doses_cumulative,7_day_avg,vaccine_series_completed_cumulative,vaccine_series_completed_percent_population
Chicago,1867234,5181.714285714285,809288,30.040653665808453
60613,92545,367.2857142857143,38358,75.6
60622,91594,413.2857142857143,38293,71.89999999999999
60625,130160,501.0,55398,69.69999999999999
60631,48048,181.0,20533,69.5
60618,153641,654.4285714285714,65303,68.8
60629,164173,546.7142857142857,73129,66.5
60632,134144,439.0,59775,66.5
60626,77880,298.7142857142857,33350,66.0
60639,130369,380.57142857142856,58186,66.0
60615,64911,233.28571428571428,26776,66.0
60634,109636,359.7142857142857,48048,64.0
60623,111514,388.57142857142856,49270,60.6
60638,79914,247.14285714285714,34996,59.599999999999994
60609,82322,286.2857142857143,36272,59.5
60612,44095,190.0,18951,56.2
60636,35523,122.57142857142857,15641,52.1
60619,71200,241.14285714285714,30545,49.9
60617,96382,340.14285714285717,41577,49.8
60628,72438,247.42857142857142,30997,48.199999999999996
60624,37747,154.71428571428572,16699,47.9
60621,27174,119.42857142857143,11954,42.699999999999996
60633,11824,39.0,5237,41.3
