agegroup,personsfullyvaccinated,percentpersonsfullyvaccinated,personsvaccinatedonedose,percentpersonsvaccinatedonedose,report_date
05+,128,0.0,161544,1.35,2021-01-04
12+,128,0.0,161544,1.49,2021-01-04
18+,128,0.0,161454,1.63,2021-01-04
65+,16,0.0,17671,0.89,2021-01-04
05+,471,0.0,183674,1.53,2021-01-05
12+,471,0.0,183674,1.69,2021-01-05
18+,471,0.0,183556,1.86,2021-01-05
65+,48,0.0,21837,1.1,2021-01-05
65+,225,0.01,25588,1.28,2021-01-06
18+,2890,0.03,201240,2.04,2021-01-06
05+,2890,0.02,201371,1.68,2021-01-06
12+,2890,0.03,201371,1.85,2021-01-06
05+,20261,0.17,213006,1.78,2021-01-07
12+,20261,0.19,213006,1.96,2021-01-07
18+,20254,0.2,212867,2.15,2021-01-07
65+,1556,0.08,27917,1.4,2021-01-07
65+,2832,0.14,32742,1.64,2021-01-08
05+,41185,0.34,232768,1.94,2021-01-08
12+,41185,0.38,232768,2.14,2021-01-08
18+,41178,0.42,232581,2.35,2021-01-08
65+,3517,0.18,35216,1.77,2021-01-09
18+,52617,0.53,243441,2.46,2021-01-09
05+,52628,0.44,243649,2.03,2021-01-09
12+,52628,0.48,243649,2.24,2021-01-09
05+,59558,0.5,251903,2.1,2021-01-10
12+,59558,0.55,251903,2.32,2021-01-10
18+,59545,0.6,251681,2.55,2021-01-10
65+,3953,0.2,37279,1.87,2021-01-10
05+,70396,0.59,258682,2.16,2021-01-11
12+,70396,0.65,258682,2.38,2021-01-11
18+,70382,0.71,258450,2.61,2021-01-11
65+,4713,0.24,38957,1.95,2021-01-11
12+,80727,0.74,278100,2.56,2021-01-12
65+,5474,0.27,43296,2.17,2021-01-12
05+,80727,0.67,278100,2.32,2021-01-12
18+,80713,0.82,277853,2.81,2021-01-12
05+,89154,0.74,300197,2.51,2021-01-13
12+,89154,0.82,300197,2.76,2021-01-13
18+,89138,0.9,299926,3.03,2021-01-13
65+,6055,0.3,48768,2.45,2021-01-13
18+,99511,1.01,324071,3.28,2021-01-14
05+,99528,0.83,324358,2.71,2021-01-14
12+,99528,0.92,324358,2.98,2021-01-14
65+,6834,0.34,54552,2.74,2021-01-14
65+,7066,0.35,60825,3.05,2021-01-15
18+,101630,1.03,346508,3.51,2021-01-15
05+,101647,0.85,346821,2.89,2021-01-15
12+,101647,0.93,346821,3.19,2021-01-15
05+,102955,0.86,361767,3.02,2021-01-16
12+,102955,0.95,361767,3.33,2021-01-16
18+,102938,1.04,361380,3.66,2021-01-16
65+,7199,0.36,66174,3.32,2021-01-16
65+,7259,0.36,69348,3.48,2021-01-17
05+,103580,0.86,369838,3.09,2021-01-17
12+,103580,0.95,369838,3.4,2021-01-17
18+,103562,1.05,369436,3.74,2021-01-17
65+,7498,0.38,73311,3.68,2021-01-18
18+,106431,1.08,379557,3.84,2021-01-18
05+,106450,0.89,379966,3.17,2021-01-18
12+,106450,0.98,379966,3.49,2021-01-18
18+,111102,1.12,404152,4.09,2021-01-19
05+,111129,0.93,404612,3.38,2021-01-19
12+,111129,1.02,404612,3.72,2021-01-19
65+,8229,0.41,85401,4.29,2021-01-19
65+,10405,0.52,97807,4.91,2021-01-20
18+,119809,1.21,430113,4.35,2021-01-20
12+,119852,1.1,430619,3.96,2021-01-20
05+,119852,1.0,430619,3.59,2021-01-20
05+,128667,1.07,466533,3.89,2021-01-21
12+,128667,1.18,466533,4.29,2021-01-21
18+,128609,1.3,466004,4.71,2021-01-21
65+,12311,0.62,115091,5.77,2021-01-21
18+,134948,1.37,501210,5.07,2021-01-22
65+,13660,0.69,132172,6.63,2021-01-22
05+,135019,1.13,501787,4.19,2021-01-22
12+,135019,1.24,501787,4.61,2021-01-22
05+,137439,1.15,522013,4.36,2021-01-23
12+,137439,1.26,522013,4.8,2021-01-23
18+,137368,1.39,521393,5.28,2021-01-23
65+,13990,0.7,142740,7.16,2021-01-23
65+,14602,0.73,148145,7.43,2021-01-24
05+,140611,1.17,533069,4.45,2021-01-24
12+,140611,1.29,533069,4.9,2021-01-24
18+,140532,1.42,532435,5.39,2021-01-24
18+,148751,1.5,551040,5.58,2021-01-25
65+,16787,0.84,156939,7.87,2021-01-25
05+,148846,1.24,551695,4.6,2021-01-25
12+,148846,1.37,551695,5.07,2021-01-25
65+,19009,0.95,173219,8.69,2021-01-26
18+,163013,1.65,590079,5.97,2021-01-26
12+,163123,1.5,590784,5.43,2021-01-26
05+,163123,1.36,590784,4.93,2021-01-26
05+,182262,1.52,628196,5.24,2021-01-27
12+,182262,1.68,628196,5.78,2021-01-27
18+,182127,1.84,627446,6.35,2021-01-27
65+,23812,1.19,194468,9.76,2021-01-27
18+,198667,2.01,670986,6.79,2021-01-28
65+,27052,1.36,219261,11.0,2021-01-28
05+,198810,1.66,671753,5.61,2021-01-28
12+,198810,1.83,671753,6.18,2021-01-28
05+,213247,1.78,716200,5.98,2021-01-29
12+,213247,1.96,716200,6.58,2021-01-29
18+,213065,2.16,715381,7.24,2021-01-29
65+,30940,1.55,244011,12.24,2021-01-29
65+,33196,1.67,261918,13.14,2021-01-30
05+,221182,1.85,749099,6.25,2021-01-30
12+,221182,2.03,749099,6.89,2021-01-30
18+,220977,2.24,748227,7.57,2021-01-30
65+,34477,1.73,268560,13.48,2021-01-31
18+,225413,2.28,761223,7.7,2021-01-31
05+,225621,1.88,762114,6.36,2021-01-31
12+,225621,2.07,762114,7.01,2021-01-31
05+,233753,1.95,787622,6.57,2021-02-01
12+,233753,2.15,787622,7.24,2021-02-01
18+,233540,2.36,786693,7.96,2021-02-01
65+,35799,1.8,282707,14.19,2021-02-01
65+,39227,1.97,312471,15.68,2021-02-02
05+,251036,2.1,836915,6.99,2021-02-02
12+,251036,2.31,836915,7.69,2021-02-02
18+,250807,2.54,835933,8.46,2021-02-02
65+,41742,2.09,341479,17.13,2021-02-03
18+,263671,2.67,888052,8.98,2021-02-03
05+,263910,2.2,889103,7.42,2021-02-03
12+,263910,2.43,889103,8.17,2021-02-03
65+,46935,2.36,377924,18.96,2021-02-04
05+,280618,2.34,950522,7.93,2021-02-04
12+,280618,2.58,950522,8.74,2021-02-04
18+,280356,2.84,949394,9.61,2021-02-04
12+,294403,2.71,1004742,9.24,2021-02-05
18+,294133,2.98,1003546,10.15,2021-02-05
05+,294403,2.46,1004742,8.39,2021-02-05
65+,49807,2.5,409381,20.54,2021-02-05
65+,53288,2.67,432600,21.71,2021-02-06
18+,305904,3.09,1045265,10.58,2021-02-06
12+,306198,2.82,1046541,9.62,2021-02-06
05+,306198,2.56,1046541,8.74,2021-02-06
05+,310184,2.59,1061903,8.86,2021-02-07
12+,310184,2.85,1061903,9.76,2021-02-07
18+,309888,3.14,1060565,10.73,2021-02-07
65+,54540,2.74,440075,22.08,2021-02-07
18+,322967,3.27,1106947,11.2,2021-02-08
65+,59631,2.99,464937,23.33,2021-02-08
05+,323334,2.7,1108359,9.25,2021-02-08
12+,323334,2.97,1108359,10.19,2021-02-08
05+,339792,2.84,1152934,9.62,2021-02-09
12+,339792,3.12,1152934,10.6,2021-02-09
18+,339393,3.43,1151490,11.65,2021-02-09
65+,65219,3.27,489649,24.57,2021-02-09
65+,71968,3.61,515875,25.88,2021-02-10
05+,359667,3.0,1200072,10.02,2021-02-10
12+,359667,3.31,1200072,11.03,2021-02-10
18+,359239,3.63,1198572,12.13,2021-02-10
18+,387657,3.92,1262918,12.78,2021-02-11
65+,81382,4.08,553626,27.78,2021-02-11
05+,388121,3.24,1264480,10.55,2021-02-11
12+,388121,3.57,1264480,11.63,2021-02-11
05+,412825,3.45,1316965,10.99,2021-02-12
12+,412825,3.8,1316965,12.11,2021-02-12
18+,412334,4.17,1315358,13.31,2021-02-12
65+,92027,4.62,579812,29.09,2021-02-12
05+,428233,3.57,1358807,11.34,2021-02-13
12+,428233,3.94,1358807,12.49,2021-02-13
18+,427715,4.33,1357155,13.73,2021-02-13
65+,98927,4.96,600667,30.14,2021-02-13
65+,102628,5.15,616190,30.92,2021-02-14
18+,436004,4.41,1387717,14.04,2021-02-14
12+,436539,4.01,1389410,12.77,2021-02-14
05+,436539,3.64,1389410,11.6,2021-02-14
05+,444765,3.71,1420144,11.85,2021-02-15
12+,444765,4.09,1420144,13.06,2021-02-15
18+,444228,4.49,1418400,14.35,2021-02-15
65+,105958,5.32,632042,31.71,2021-02-15
65+,113770,5.71,643978,32.31,2021-02-16
05+,460099,3.84,1442128,12.04,2021-02-16
12+,460099,4.23,1442128,13.26,2021-02-16
18+,459541,4.65,1440366,14.57,2021-02-16
18+,485137,4.91,1483190,15.01,2021-02-17
65+,126297,6.34,664516,33.34,2021-02-17
