report_date,persons_fully_vaccinated
2021-01-04,277
2021-01-05,852
2021-01-06,5760
2021-01-07,41910
2021-01-08,85191
2021-01-09,109115
2021-01-10,123692
2021-01-11,146309
2021-01-12,167632
2021-01-13,185020
2021-01-14,206126
2021-01-15,210268
2021-01-16,212838
2021-01-17,214029
2021-01-18,219895
2021-01-19,229380
2021-01-20,248534
2021-01-21,267470
2021-01-22,280666
2021-01-23,285258
2021-01-24,291769
2021-01-25,309473
2021-01-26,339755
2021-01-27,381909
2021-01-28,417294
2021-01-29,448977
2021-01-30,465954
2021-01-31,475521
2021-02-01,492790
2021-02-02,530779
2021-02-03,558774
2021-02-04,596671
2021-02-05,626142
2021-02-06,652603
2021-02-07,661588
2021-02-08,692043
2021-02-09,730294
2021-02-10,776404
2021-02-11,842231
2021-02-12,901835
2021-02-13,938832
2021-02-14,958679
2021-02-15,978356
2021-02-16,1017931
2021-02-17,1084184
2021-02-18,1174077
2021-02-19,1257010
2021-02-20,1273069
2021-02-21,1333413
2021-02-22,1383184
2021-02-23,1457398
2021-02-24,1593621
2021-02-25,1735161
2021-02-26,1861179
2021-02-27,1971871
2021-02-28,2027404
2021-03-01,2105717
2021-03-02,2211744
2021-03-03,2330949
2021-03-04,2504048
2021-03-05,2668559
2021-03-06,2796768
2021-03-07,2836533
2021-03-08,2940779
2021-03-09,3076287
2021-03-10,3226597
2021-03-11,3387028
2021-03-12,3567467
2021-03-13,3682909
2021-03-14,3797527
2021-03-15,3899379
2021-03-16,4014557
2021-03-17,4118216
2021-03-18,4234900
2021-03-19,4354589
2021-03-20,4425864
2021-03-21,4465011
2021-03-22,4529136
2021-03-23,4605491
2021-03-24,4684894
2021-03-25,4789039
2021-03-26,4918565
2021-03-27,5030824
2021-03-28,5075560
2021-03-29,5142526
2021-03-30,5264495
2021-03-31,5367363
2021-04-01,5509905
2021-04-02,5654414
2021-04-03,5764319
2021-04-04,5795291
2021-04-05,5899000
2021-04-06,6061151
2021-04-07,6241223
2021-04-08,6454152
2021-04-09,6704361
2021-04-10,6869824
2021-04-11,6951972
2021-04-12,7090316
2021-04-13,7261270
2021-04-14,7408335
2021-04-15,7606739
2021-04-16,7799920
2021-04-17,7934196
2021-04-18,8011549
2021-04-19,8122930
2021-04-20,8300837
2021-04-21,8459473
2021-04-22,8627549
2021-04-23,8782520
2021-04-24,8886237
2021-04-25,8930870
2021-04-26,9026355
2021-04-27,9162289
2021-04-28,9304029
2021-04-29,9441964
2021-04-30,9558031
2021-05-01,9610050
2021-05-02,9627962
2021-05-03,9684139
2021-05-04,9832105
2021-05-05,9975361
2021-05-06,10083736
2021-05-07,10242092
2021-05-08,10348554
2021-05-09,10442802
2021-05-10,10523900
2021-05-11,10634476
2021-05-12,10733566
2021-05-13,10836147
2021-05-14,10981844
2021-05-15,11063727
2021-05-16,11096446
2021-05-17,11154223
2021-05-18,11260362
2021-05-19,11354917
2021-05-20,11476590
2021-05-21,11562033
2021-05-22,11626542
2021-05-23,11658099
2021-05-24,11711055
2021-05-25,11775090
2021-05-26,11840451
2021-05-27,11907338
2021-05-28,11967867
2021-05-29,12008836
2021-05-30,12029037
2021-05-31,12046336
2021-06-01,12084466
2021-06-02,12124219
2021-06-03,12179389
2021-06-04,12237330
2021-06-05,12287253
2021-06-06,12319776
2021-06-07,12366232
2021-06-08,12420897
2021-06-09,12487568
2021-06-10,12535635
2021-06-11,12580611
2021-06-12,12607330
2021-06-13,12633194
2021-06-14,12712409
2021-06-15,12773647
2021-06-16,12816985
2021-06-17,12871687
2021-06-18,12899191
2021-06-19,12941178
2021-06-20,12959043
2021-06-21,12982581
2021-06-22,13010388
2021-06-23,13044197
2021-06-24,13084848
2021-06-25,13179787
2021-06-26,13293346
2021-06-27,13302397
2021-06-28,13325809
2021-06-29,13355298
2021-06-30,13384137
2021-07-01,13410701
2021-07-02,13438628
2021-07-03,13457226
2021-07-04,13466265
2021-07-05,13467829
2021-07-06,13482800
2021-07-07,13509543
2021-07-08,13536386
2021-07-09,13560269
2021-07-10,13579659
2021-07-11,13592636
2021-07-12,13617498
2021-07-13,13638482
2021-07-14,13658427
2021-07-15,13678493
2021-07-16,13698330
2021-07-17,13714396
2021-07-18,13723495
2021-07-19,13740054
2021-07-20,13762537
2021-07-21,13783470
2021-07-22,13798904
2021-07-23,13814761
2021-07-24,13824367
2021-07-25,13829678
2021-07-26,13838915
