,county_name,administered_count,administered_count_change,administered_count_roll_avg,allocated_doses,persons_fully_vaccinated,persons_fully_vaccinated_change,report_date,population,pct_vaccinated_population,longitude,latitude,l_h_d_reported_inventory,community_reported_inventory,total_reported_inventory,inventory_report_date,update_date,administered_doses_per_100k
0,Adams,5,5,1.0,0,0,0,2020-12-17,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-17,7.611392732642219
1,Adams,8,3,1.0,0,0,0,2020-12-18,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-18,12.178228372227547
2,Adams,8,0,1.0,0,0,0,2020-12-19,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-19,12.178228372227547
3,Adams,8,0,1.0,0,0,0,2020-12-20,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-20,12.178228372227547
4,Adams,8,0,1.0,0,0,0,2020-12-21,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-21,12.178228372227547
5,Adams,9,1,1.0,0,0,0,2020-12-22,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-22,13.700506918755996
6,Adams,538,529,77.0,0,0,0,2020-12-23,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-23,818.9858580323026
7,Adams,780,242,111.0,0,0,0,2020-12-24,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-24,1187.377266292186
8,Adams,780,0,110.0,0,0,0,2020-12-25,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-25,1187.377266292186
9,Adams,780,0,110.0,0,0,0,2020-12-26,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-26,1187.377266292186
10,Adams,780,0,110.0,0,0,0,2020-12-27,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-27,1187.377266292186
11,Adams,950,170,135.0,0,0,0,2020-12-28,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-28,1446.1646192020216
12,Adams,1174,224,166.0,0,0,0,2020-12-29,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-29,1787.155013624393
13,Adams,1478,304,134.0,0,0,0,2020-12-30,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-30,2249.92769176904
14,Adams,1553,75,110.0,0,0,0,2020-12-31,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2020-12-31,2364.0985827586733
15,Adams,1553,0,110.0,0,0,0,2021-01-01,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2021-01-01,2364.0985827586733
16,Adams,1553,0,110.0,0,0,0,2021-01-02,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2021-01-02,2364.0985827586733
17,Adams,1554,1,111.0,0,0,0,2021-01-03,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2021-01-03,2365.6208613052017
18,Adams,1665,111,102.0,0,0,0,2021-01-04,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2021-01-04,2534.5937799698586
19,Adams,1803,138,90.0,0,0,0,2021-01-05,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2021-01-05,2744.668219390784
20,Adams,2089,286,87.0,0,0,0,2021-01-06,65691,0.0,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2021-01-06,3180.039883697919
21,Adams,2301,212,107.0,0,3,3,2021-01-07,65691,4.566835639585331e-05,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2021-01-07,3502.762935561949
22,Adams,2468,167,131.0,0,6,3,2021-01-08,65691,9.133671279170662e-05,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2021-01-08,3756.9834528322
23,Adams,2468,0,131.0,0,6,0,2021-01-09,65691,9.133671279170662e-05,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2021-01-09,3756.9834528322
24,Adams,2468,0,131.0,0,6,0,2021-01-10,65691,9.133671279170662e-05,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2021-01-10,3756.9834528322
25,Adams,2506,38,120.0,0,6,0,2021-01-11,65691,9.133671279170662e-05,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2021-01-11,3814.83003760028
26,Adams,2621,115,117.0,0,8,2,2021-01-12,65691,0.0001217822837222,-91.1353,40.0578,1306,64,1370,2021-03-04T00:00:00,2021-01-12,3989.892070451051
