census_county_name,county_name,administered_count,administered_count_roll_avg,persons_fully_vaccinated,pct_vaccinated_population
"Illinois County, IL",Illinois,9978915,81265.0,4512724,35.41869292085129
"DuPage County, IL",DuPage,849182,8359.0,378671,40.77918217855262
"Sangamon County, IL",Sangamon,163058,877.0,77888,39.87140897270512
"Monroe County, IL",Monroe,27572,99.0,13433,39.12334352701325
"Cook County, IL",Cook,2062501,18552.0,924847,37.375121186147176
"Champaign County, IL",Champaign,170250,1099.0,78454,37.36207216774691
"Adams County, IL",Adams,44020,71.0,23524,35.81008052853511
"Mercer County, IL",Mercer,11417,44.0,5531,35.45285558618037
"Peoria County, IL",Peoria,135906,719.0,63730,35.283826354632076
"Clinton County, IL",Clinton,26400,76.0,13212,35.10188899811366
"Fulton County, IL",Fulton,24682,115.0,12197,35.004591895304785
"Menard County, IL",Menard,8837,50.0,4284,34.86328125
"Washington County, IL",Washington,9542,38.0,4871,34.805287602715254
"Knox County, IL",Knox,37078,209.0,17430,34.782088122605366
"Chicago County, IL",Chicago,2141853,19192.0,941150,34.78019537367784
"Tazewell County, IL",Tazewell,96671,566.0,45955,34.728099873042744
"Cass County, IL",Cass,8702,30.0,4241,34.59216965742251
"Henry County, IL",Henry,35828,262.0,16952,34.53249134243227
"Kendall County, IL",Kendall,101029,1001.0,44155,34.51901653441738
"McLean County, IL",McLean,130228,988.0,59522,34.44002129284607
"Madison County, IL",Madison,186406,896.0,91068,34.43532316674292
"Putnam County, IL",Putnam,4169,23.0,1962,34.181184668989545
"Jersey County, IL",Jersey,15178,59.0,7451,34.10536915823683
"Morgan County, IL",Morgan,23462,106.0,11455,33.71497527666588
"Woodford County, IL",Woodford,27129,117.0,12905,33.551725034448694
"Kane County, IL",Kane,401512,4738.0,178192,33.35579615735957
"Marshall County, IL",Marshall,7920,44.0,3826,33.17149297728455
"Will County, IL",Will,523753,5340.0,229580,33.1614450174055
"Jo Daviess County, IL",Jo Daviess,13832,55.0,7072,33.099316671347
"St. Clair County, IL",St. Clair,178532,666.0,86259,33.04195603292742
"Mason County, IL",Mason,9131,37.0,4468,32.937707335053446
"Grundy County, IL",Grundy,36176,283.0,16740,32.8415600721965
"Winnebago County, IL",Winnebago,195860,1284.0,93112,32.776567246665564
"Lake County, IL",Lake,523677,4987.0,228407,32.590834893383864
"Jackson County, IL",Jackson,37324,87.0,18588,32.37255960570543
"Schuyler County, IL",Schuyler,4512,17.0,2230,32.286086578833064
"Lee County, IL",Lee,22917,150.0,11039,32.25608508897525
"Union County, IL",Union,11440,32.0,5427,32.224927260851494
"McHenry County, IL",McHenry,229549,2032.0,99095,32.11426904754189
"Stark County, IL",Stark,3650,29.0,1732,31.91450156624286
"Piatt County, IL",Piatt,11534,76.0,5213,31.79434008294706
"Macoupin County, IL",Macoupin,30221,92.0,14365,31.701719153443825
"Ogle County, IL",Ogle,34490,221.0,16068,31.553521984172185
"Bureau County, IL",Bureau,22427,131.0,10199,30.912617828024125
"Ford County, IL",Ford,9024,40.0,4076,30.729794933655008
