census_county_name,county_name,l_h_d_reported_inventory,community_reported_inventory,total_reported_inventory,total_inventory_per_100k,latitude,longitude
"Illinois County, IL",Illinois,219653,289843,520260,4083.3273160517006,39.839888,-89.510168
"Pulaski County, IL",Pulaski,4830,0,4830,88412.9599121362,37.2512,-89.1325
"Ford County, IL",Ford,130,3748,3878,29237.032569360676,40.4989,-88.2072
"De Witt County, IL",De Witt,3690,0,3690,23400.342444035767,40.181,-88.9031
"McDonough County, IL",McDonough,5360,538,5898,19689.53430145218,40.3885,-90.6773
"Lawrence County, IL",Lawrence,2519,0,2519,15978.433238185855,38.7158,-87.7763
"Brown County, IL",Brown,983,0,983,14993.898718730932,39.938,-90.7153
"Henderson County, IL",Henderson,486,390,876,13057.087494410494,40.8336,-90.9438
"Union County, IL",Union,0,1825,1825,10836.64865506799,37.5087,-89.2847
"Henry County, IL",Henry,5015,275,5290,10776.125483805255,41.3611,-90.0747
"Knox County, IL",Knox,3895,1146,5041,10059.466794380587,40.8776,-90.2245
"St. Clair County, IL",St. Clair,7401,18812,26213,10041.025208860832,38.4008,-89.9253
"Cumberland County, IL",Cumberland,1080,0,1080,9992.59807549963,39.2654,-88.2072
"Williamson County, IL",Williamson,6097,250,6347,9465.223097112861,37.7183,-88.8647
"Rock Island County, IL",Rock Island,9283,3048,12331,8594.408859956648,41.5095,-90.5787
"Jackson County, IL",Jackson,3021,1704,4725,8228.983437538096,37.7218,-89.3227
"Carroll County, IL",Carroll,1135,23,1158,8091.112353269983,42.0386,-89.9627
"Clay County, IL",Clay,976,80,1056,7968.007243642949,38.7279,-88.5565
"Cook County, IL",Cook,62457,131270,193727,7828.938302258356,42.050784,-87.963759
"Sangamon County, IL",Sangamon,5445,9396,14841,7597.211130904846,39.7337,-89.6252
"Coles County, IL",Coles,1756,1915,3671,7214.306770168026,39.556,-88.2461
"Perry County, IL",Perry,1351,130,1481,6994.427127609331,38.0612,-89.3227
"Scott County, IL",Scott,340,0,340,6902.151847340641,39.6095,-90.488
"Logan County, IL",Logan,1433,523,1956,6762.316335350044,40.0613,-89.3227
"Washington County, IL",Washington,864,60,924,6602.35798499464,38.3989,-89.3227
"Marion County, IL",Marion,790,1670,2460,6539.074960127592,38.7313,-88.8647
"Clark County, IL",Clark,992,0,992,6360.605283406001,39.3824,-87.7763
"Hardin County, IL",Hardin,0,240,240,6138.107416879796,37.4995,-88.3628
"Lee County, IL",Lee,981,1027,2008,5867.399117552523,41.679,-89.3227
"Schuyler County, IL",Schuyler,369,30,399,5776.748226436948,40.1845,-90.6394
"Iroquois County, IL",Iroquois,451,1123,1574,5702.072163454572,40.774,-87.6976
"Adams County, IL",Adams,3190,515,3705,5640.042014887884,40.0578,-91.1353
"Cass County, IL",Cass,0,678,678,5530.179445350735,39.9399,-90.262
"LaSalle County, IL",LaSalle,5757,135,5892,5384.263913003747,41.4364,-88.9414
"DuPage County, IL",DuPage,1715,47642,49357,5315.268649531709,41.8244,-88.0901
"Woodford County, IL",Woodford,2040,0,2040,5303.798455658685,40.7129,-89.1706
"Saline County, IL",Saline,0,1254,1254,5245.545051451518,37.715,-88.5565
"Kankakee County, IL",Kankakee,3104,2461,5565,5057.987348214935,41.1791,-87.7763
"Warren County, IL",Warren,587,270,857,5031.705025833725,40.8759,-90.6773
"Mercer County, IL",Mercer,694,80,774,4961.220434587526,41.1985,-90.6773
"Tazewell County, IL",Tazewell,5433,533,5966,4508.494045100055,40.5522,-89.4742
"Hamilton County, IL",Hamilton,30,310,340,4165.135366899424,38.0543,-88.5565
"Macon County, IL",Macon,2185,2153,4338,4142.791657116663,39.8949,-89.0179
"Fulton County, IL",Fulton,1431,0,1431,4106.876363218918,40.5532,-90.2245
"Wabash County, IL",Wabash,458,0,458,3965.7113169971426,38.4226,-87.8157
"Boone County, IL",Boone,422,1700,2122,3960.654758571775,42.3485,-88.8263
"Wayne County, IL",Wayne,240,385,625,3826.8430075924566,38.39,-88.4016
"Jefferson County, IL",Jefferson,590,840,1430,3781.068217874141,38.2267,-88.8647
"Ogle County, IL",Ogle,777,1142,1919,3768.434695520688,41.997,-89.3227
"Richland County, IL",Richland,572,0,572,3628.750872295883,38.7213,-88.0901
"Whiteside County, IL",Whiteside,1138,798,1936,3480.386869449538,41.7606,-89.8505
"Macoupin County, IL",Macoupin,1245,260,1505,3321.342661046499,39.2375,-89.9253
"Vermilion County, IL",Vermilion,0,2530,2530,3294.0134885295415,40.1225,-87.6976
"Shelby County, IL",Shelby,700,0,700,3219.723103813072,39.3981,-88.8647
"Livingston County, IL",Livingston,970,180,1150,3215.7937417857443,40.8689,-88.5565
"Kane County, IL",Kane,10573,6568,17141,3208.627221947677,41.9879,-88.4016
"Winnebago County, IL",Winnebago,1683,7305,8988,3163.88635635611,42.3121,-89.1706
"Morgan County, IL",Morgan,1066,0,1066,3137.508829762185,39.7341,-90.2245
"Bond County, IL",Bond,510,0,510,3066.7468430547206,38.903,-89.4742
"Hancock County, IL",Hancock,50,492,542,3037.4355525666892,40.3849,-91.1353
"Pike County, IL",Pike,459,12,471,3017.1033245788226,39.5662,-90.8294
"McLean County, IL",McLean,3376,1813,5189,3002.407017381443,40.5478,-88.8647
"Montgomery County, IL",Montgomery,568,275,843,2947.449389881473,39.2364,-89.4742
"Peoria County, IL",Peoria,1281,3801,5082,2813.626322520637,40.7156,-89.7755
"Clinton County, IL",Clinton,1025,0,1025,2723.239193389835,38.5684,-89.6252
"Christian County, IL",Christian,0,885,885,2709.6537154404336,39.5672,-89.3227
"Madison County, IL",Madison,2990,3880,6870,2597.736528259365,38.9041,-89.9253
"Champaign County, IL",Champaign,1060,4281,5341,2543.5392388907676,40.2139,-88.2461
"McHenry County, IL",McHenry,6169,1245,7414,2402.6963087792074,42.304,-88.4016
"Fayette County, IL",Fayette,430,50,480,2241.3149047441166,39.067,-89.0179
"Lake County, IL",Lake,4619,10688,15307,2184.1183051002236,42.3689,-87.8272
"Moultrie County, IL",Moultrie,320,0,320,2174.3561867228373,39.6021,-88.5952
"White County, IL",White,0,285,285,2085.6201975850713,38.0501,-88.2461
"Grundy County, IL",Grundy,1034,0,1034,2028.5647021894372,41.3501,-88.4016
"Effingham County, IL",Effingham,0,685,685,2002.4555659494854,39.0622,-88.5565
"DeKalb County, IL",DeKalb,1698,360,2058,1976.1289765034617,41.833,-88.7109
"Crawford County, IL",Crawford,238,120,358,1903.5465518158132,39.05,-87.7763
"Randolph County, IL",Randolph,470,120,590,1837.6627421665733,38.0629,-89.7755
"Will County, IL",Will,9966,2742,12708,1835.5938813537289,41.5055,-88.0901
"Jersey County, IL",Jersey,400,0,400,1830.9149997711354,39.0705,-90.3748
"Stephenson County, IL",Stephenson,413,250,663,1481.4649297253816,42.3145,-89.6252
"Edgar County, IL",Edgar,0,250,250,1440.0921658986176,39.7131,-87.7763
"Kendall County, IL",Kendall,1708,62,1770,1383.7313841222688,41.5507,-88.4404
"Putnam County, IL",Putnam,0,70,70,1219.5121951219512,41.2385,-89.2847
"Jo Daviess County, IL",Jo Daviess,260,0,260,1216.8866423289337,42.3149,-90.2245
"Calhoun County, IL",Calhoun,55,0,55,1145.3561016243232,39.1733,-90.6583
"Bureau County, IL",Bureau,368,0,368,1115.3881126299518,41.3599,-89.4742
"Gallatin County, IL",Gallatin,0,50,50,988.5330170027679,37.7108,-88.2461
"Franklin County, IL",Franklin,0,335,335,865.6107077336503,38.0157,-88.9031
"Douglas County, IL",Douglas,135,0,135,693.0540582165409,39.7618,-88.2072
"Mason County, IL",Mason,92,0,92,678.2159970512348,40.2271,-89.9253
"Edwards County, IL",Edwards,0,40,40,625.7822277847309,38.4268,-88.051
"Monroe County, IL",Monroe,185,0,185,538.8087956895296,38.2743,-90.187
"Jasper County, IL",Jasper,44,0,44,457.8087607949225,39.0555,-88.0901
"Johnson County, IL",Johnson,0,50,50,401.41297366730896,37.4204,-88.9031
"Piatt County, IL",Piatt,0,30,30,182.97145645279335,40.02861312,-88.57328
"Alexander County, IL",Alexander,0,10,10,165.01650165016503,37.167,-89.3606
"Greene County, IL",Greene,0,0,0,0.0,39.403,-90.3748
"Chicago County, IL",Chicago,0,0,0,0.0,41.789896,-87.627734
"Pope County, IL",Pope,0,0,0,0.0,37.4171,-88.5952
"Marshall County, IL",Marshall,0,0,0,0.0,40.9973,-89.3606
"Menard County, IL",Menard,0,0,0,0.0,40.0221,-89.813
"Stark County, IL",Stark,0,0,0,0.0,41.0796,-89.813
"Massac County, IL",Massac,0,0,0,0.0,37.2478,-88.7494
"Unknown County, IL",Unknown,0,0,0,,0.0,0.0
"Out Of State County, IL",Out Of State,0,0,0,,0.0,0.0
