county_name,administered_count,administered_count_change,administered_count_roll_avg,allocated_doses,persons_fully_vaccinated,persons_fully_vaccinated_change,report_date,population,pct_vaccinated_population,longitude,latitude,l_h_d_reported_inventory,community_reported_inventory,total_reported_inventory,inventory_report_date,administered_doses_per_100k
Illinois,1,1,0.0,0,0,0,2020-12-15,12741080,0.0,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,0.007848628216760275
Illinois,1567,1566,224.0,49950,0,0,2020-12-16,12741080,0.0,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,12.29880041566335
Illinois,11721,10154,1674.0,83670,0,0,2020-12-17,12741080,0.0,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,91.99377132864718
Illinois,31275,19554,4468.0,83670,11,11,2020-12-18,12741080,8.633491038436302e-05,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,245.4658474791776
Illinois,43372,12097,6196.0,83670,11,0,2020-12-19,12741080,8.633491038436302e-05,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,340.4107030173266
Illinois,49492,6120,7070.0,83670,11,0,2020-12-20,12741080,8.633491038436302e-05,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,388.4443077038995
Illinois,60935,11443,8705.0,83670,28,17,2020-12-21,12741080,0.0002197615900692877,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,478.25616038828736
Illinois,70052,9117,10007.0,83670,28,0,2020-12-22,12741080,0.0002197615900692877,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,549.8121038404907
Illinois,79801,9749,11176.0,83670,28,0,2020-12-23,12741080,0.0002197615900692877,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,626.3283803256867
Illinois,85099,5298,10483.0,83670,28,0,2020-12-24,12741080,0.0002197615900692877,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,667.9104126180827
Illinois,86232,1133,7851.0,83670,28,0,2020-12-25,12741080,0.0002197615900692877,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,676.802908387672
Illinois,87551,1319,6311.0,0,28,0,2020-12-26,12741080,0.0002197615900692877,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,687.1552490055788
Illinois,88541,990,5578.0,83670,28,0,2020-12-27,12741080,0.0002197615900692877,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,694.9253909401714
Illinois,94181,5640,4749.0,83670,28,0,2020-12-28,12741080,0.0002197615900692877,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,739.1916540826994
Illinois,111496,17315,5921.0,83670,29,1,2020-12-29,12741080,0.00022761021828604798,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,875.0906516559036
Illinois,130846,19350,7292.0,83670,29,0,2020-12-30,12741080,0.00022761021828604798,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,1026.961607650215
Illinois,144537,13691,8491.0,83670,29,0,2020-12-31,12741080,0.00022761021828604798,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,1134.4171765658798
Illinois,149760,5223,9075.0,83670,29,0,2021-01-01,12741080,0.00022761021828604798,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,1175.4105617420187
Illinois,153306,3546,9394.0,83670,29,0,2021-01-02,12741080,0.00022761021828604798,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,1203.2417973986505
Illinois,155587,2281,9578.0,83670,29,0,2021-01-03,12741080,0.00022761021828604798,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,1221.1445183610808
Illinois,168273,12686,10585.0,83670,142,113,2021-01-04,12741080,0.001114505206779959,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,1320.7122159189016
Illinois,191228,22955,11390.0,83670,434,292,2021-01-05,12741080,0.003406304646073959,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,1500.8774766346337
Illinois,211824,20596,11568.0,83670,2867,2433,2021-01-06,12741080,0.02250201709745171,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,1662.5278233870285
Illinois,241935,30111,13914.0,83670,20904,18037,2021-01-07,12741080,0.16406772424315677,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,1898.857867621897
Illinois,283961,42026,19172.0,95490,42747,21843,2021-01-08,12741080,0.3355053103818515,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,2228.7043170594643
Illinois,307252,23291,21992.0,95490,54823,12076,2021-01-09,12741080,0.43028534472744856,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,2411.506716856028
Illinois,322949,15697,23909.0,95490,62103,7280,2021-01-10,12741080,0.48742335814546334,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,2534.706633974514
Illinois,341313,18364,24720.0,95490,73426,11323,2021-01-11,12741080,0.57629337544384,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,2678.8388425470994
Illinois,372235,30922,25858.0,95490,84144,10718,2021-01-12,12741080,0.6604149726710765,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,2921.534124265761
Illinois,403878,31643,27436.0,95490,92950,8806,2021-01-13,12741080,0.7295299927478676,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,3169.888266928706
Illinois,439655,35777,28246.0,95490,103740,10790,2021-01-14,12741080,0.8142166912067108,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,3450.6886386397387
Illinois,464848,25193,25841.0,95490,105797,2057,2021-01-15,12741080,0.8303613194485868,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,3648.41912930458
Illinois,481490,16642,24891.0,95490,107068,1271,2021-01-16,12741080,0.8403369259120891,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,3779.036000087905
Illinois,490447,8957,23928.0,95490,107668,600,2021-01-17,12741080,0.8450461028421452,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,3849.3361630254262
Illinois,503798,13351,23212.0,95490,110644,2976,2021-01-18,12741080,0.8684036204152238,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,3954.123198347393
Illinois,533543,29745,23044.0,95490,115179,4535,2021-01-19,12741080,0.9039971493782316,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,4187.580644654927
Illinois,568807,35264,23561.0,95490,123921,8742,2021-01-20,12741080,0.97260985724915,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,4464.354670090762
Illinois,614133,45326,24925.0,95490,132682,8761,2021-01-21,12741080,1.0413716890561868,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,4820.101592643638
Illinois,656357,42224,27358.0,95490,138869,6187,2021-01-22,12741080,1.0899311518332826,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,5151.502070468124
Illinois,679180,22823,28241.0,95490,141083,2214,2021-01-23,12741080,1.1073080147051897,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,5330.631312259243
Illinois,693527,14347,29011.0,95490,144145,3062,2021-01-24,12741080,1.1313405143049098,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,5443.235581285103
Illinois,720614,27087,30974.0,95490,152113,7968,2021-01-25,12741080,1.1938783839360556,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,5655.831373792489
Illinois,775070,54456,34504.0,95490,166625,14512,2021-01-26,12741080,1.3077776766176807,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,6083.236271964386
Illinois,832702,57632,37699.0,95490,185965,19340,2021-01-27,12741080,1.4595701463298245,-89.510168,39.839888,261579,316661,589004,2021-06-13T00:00:00,6535.568413352715
