county_name,administered_count,administered_count_change,administered_count_roll_avg,allocated_doses,persons_fully_vaccinated,persons_fully_vaccinated_change,persons_vaccinated_one_dose,persons_vaccinated_one_dose_change,booster_dose_administered,booster_dose_administered_change,report_date,population,pct_vaccinated_population,pct_vaccinated_one_dose_population,longitude,latitude,l_h_d_reported_inventory,community_reported_inventory,total_reported_inventory,inventory_report_date,administered_doses_per_100k
Illinois,1,1,0.0,0,0,0,1,1,0,0,2020-12-15,12741080,0.0,7.848628216760275e-08,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,0.007848628216760275
Illinois,1569,1568,224.0,49950,0,0,1491,1490,0,0,2020-12-16,12741080,0.0,0.0001170230467118957,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,12.31449767209687
Illinois,11680,10111,1669.0,83670,0,0,11209,9718,0,0,2020-12-17,12741080,0.0,0.0008797527368166591,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,91.67197757176001
Illinois,31044,19364,4435.0,83670,0,0,29791,18582,0,0,2020-12-18,12741080,0.0,0.0023381848320550534,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,243.65281436110595
Illinois,42979,11935,6140.0,83670,0,0,41349,11558,0,0,2020-12-19,12741080,0.0,0.003245329281348206,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,337.32619212813984
Illinois,48939,5960,6991.0,83670,0,0,47081,5732,0,0,2020-12-20,12741080,0.0,0.003695212650732905,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,384.10401630003105
Illinois,60272,11333,8610.0,83670,0,0,58031,10950,0,0,2020-12-21,12741080,0.0,0.004554637440468155,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,473.05251988057523
Illinois,69369,9097,9910.0,83670,0,0,66507,8476,0,0,2020-12-22,12741080,0.0,0.0052198871681207555,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,544.4514907684435
Illinois,79111,9742,11077.0,83670,0,0,75804,9297,0,0,2020-12-23,12741080,0.0,0.005949574133432958,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,620.912826856122
Illinois,84406,5295,10389.0,83670,0,0,80861,5057,0,0,2020-12-24,12741080,0.0,0.006346479262354526,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,662.4713132638677
Illinois,85536,1130,7785.0,83670,0,0,81933,1072,0,0,2020-12-25,12741080,0.0,0.0064306165568381955,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,671.3402631488069
Illinois,86850,1314,6267.0,0,0,0,83211,1278,0,0,2020-12-26,12741080,0.0,0.006530922025448392,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,681.6533606256298
Illinois,87838,988,5557.0,83670,0,0,84183,972,0,0,2020-12-27,12741080,0.0,0.006607210691715302,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,689.407805303789
Illinois,93454,5616,4740.0,83670,0,0,89602,5419,0,0,2020-12-28,12741080,0.0,0.007032527854781541,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,733.4857013691147
Illinois,110685,17231,5902.0,83670,0,0,106420,16818,0,0,2020-12-29,12741080,0.0,0.008352510148276284,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,868.7254141721111
Illinois,129981,19296,7267.0,83670,0,0,125154,18734,0,0,2020-12-30,12741080,0.0,0.009822872158404154,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,1020.1725442427173
Illinois,143536,13555,8447.0,83670,0,0,138311,13157,0,0,2020-12-31,12741080,0.0,0.010855516172883304,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,1126.560699720903
Illinois,148825,5289,9041.0,83670,0,0,143480,5169,0,0,2021-01-01,12741080,0.0,0.011261211765407642,-89.510168,39.839888,68588,285775,356533,2022-03-01T00:00:00,1168.0720943593478
