,county_name,gender,gender_display,administered_count,administered_count_display,allocated_doses,persons_fully_vaccinated,persons_fully_vaccinated_display,report_date,administered_count_pct,persons_fully_vaccinated_pct
0,Illinois,Male,Male,5906651,5906651,0,2907298,2907298,2021-07-12,0.45962560904769706,0.46083618849707825
1,Illinois,Other,Other,912,912,0,459,459,2021-07-12,7.096721229195694e-05,7.275615039124264e-05
2,Illinois,Female,Female,6891259,6891259,0,3375968,3375968,2021-07-12,0.5362428074691434,0.5351251318606157
3,Illinois,Unknown,Unknown,52183,52183,0,25020,25020,2021-07-12,0.004060616270867531,0.003965923491914794
0,Adams,Female,Female,27029,27029,0,14609,14609,2021-07-12,0.5494816019516162,0.5466621763209101
1,Adams,Other,Other,1,<10,0,1,<10,2021-07-12,2.0329335230737956e-05,3.74195479718605e-05
2,Adams,Unknown,Unknown,89,89,0,54,54,2021-07-12,0.001809310835535678,0.002020655590480467
3,Adams,Male,Male,22068,22068,0,12059,12059,2021-07-12,0.4486277698719252,0.45124232899266575
0,Champaign,Female,Female,108556,108556,0,53126,53126,2021-07-12,0.5275881006420132,0.5262240359757124
1,Champaign,Male,Male,97055,97055,0,47755,47755,2021-07-12,0.4716926112588028,0.4730231682795646
2,Champaign,Other,Other,14,14,0,1,<10,2021-07-12,6.804076613902672e-05,9.905207167407906e-06
3,Champaign,Unknown,Unknown,130,130,0,67,67,2021-07-12,0.0006318071141481053,0.0006636488802163297
0,Cass,Female,Female,5791,5791,0,2858,2858,2021-07-12,0.5410632532934692,0.5390418709920785
1,Cass,Unknown,Unknown,28,28,0,15,15,2021-07-12,0.002616088947024199,0.002829121086382497
2,Cass,Other,Other,1,<10,0,1,<10,2021-07-12,9.34317481080071e-05,0.0001886080724254998
3,Cass,Male,Male,4878,4878,0,2426,2426,2021-07-12,0.45576006727085866,0.4575631837042625
0,Putnam,Male,Male,2228,2228,0,1090,1090,2021-07-12,0.4561834561834562,0.4553049289891395
1,Putnam,Female,Female,2650,2650,0,1301,1301,2021-07-12,0.5425880425880426,0.5434419381787803
2,Putnam,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.00020475020475020476,0.0004177109440267335
0,Jersey,Male,Male,7823,7823,0,3937,3937,2021-07-12,0.4464418193231753,0.44632127876657973
1,Jersey,Other,Other,1,<10,0,1,<10,2021-07-12,5.706785367802317e-05,0.00011336583153837434
2,Jersey,Female,Female,9683,9683,0,4876,4876,2021-07-12,0.5525880271642983,0.5527717945811133
