county_name,gender,gender_display,administered_count,allocated_doses,persons_fully_vaccinated,persons_fully_vaccinated_display,report_date,administered_count_pct,persons_fully_vaccinated_pct
Illinois,Unknown,Unknown,50980,0,24314,24314,2021-06-15,0.004223663268155973,0.004158469962178003
Illinois,Other,Other,889,0,448,448,2021-06-15,7.365313152982857e-05,7.662229756748149e-05
Illinois,Female,Female,6492792,0,3141297,3141297,2021-06-15,0.5379240305644755,0.5372620390219575
Illinois,Male,Male,5525430,0,2680803,2680803,2021-06-15,0.45777865303583876,0.4585028687182971
Adams,Unknown,Unknown,88,0,53,53,2021-06-15,0.0018568926589436813,0.002066679664651979
Adams,Male,Male,21246,0,11564,11564,2021-06-15,0.4483129708172438,0.45092610645349973
Adams,Female,Female,26054,0,14027,14027,2021-06-15,0.5497668333649849,0.5469682199259115
Adams,Other,Other,2,0,1,<10,2021-06-15,4.220210588508367e-05,3.899395593682979e-05
Champaign,Unknown,Unknown,123,0,63,63,2021-06-15,0.0006296713422750076,0.0006648445002585507
Champaign,Female,Female,103358,0,50066,50066,2021-06-15,0.529118460120815,0.5283508690467397
Champaign,Male,Male,91841,0,44621,44621,2021-06-15,0.4701597215112112,0.4708893086672506
Champaign,Other,Other,14,0,1,<10,2021-06-15,7.166990887683014e-05,1.055308730569128e-05
Cass,Male,Male,4634,0,2289,2289,2021-06-15,0.4573176749235172,0.4587174348697395
Cass,Other,Other,2,0,1,<10,2021-06-15,0.0001973749136484753,0.0002004008016032064
Cass,Female,Female,5465,0,2683,2683,2021-06-15,0.5393269515444588,0.5376753507014028
Cass,Unknown,Unknown,28,0,15,15,2021-06-15,0.002763248791078654,0.003006012024048096
Putnam,Unknown,Unknown,6,0,1,<10,2021-06-15,0.0012919896640826874,0.0004426737494466578
Putnam,Female,Female,2537,0,1239,1239,2021-06-15,0.5462962962962963,0.548472775564409
Putnam,Male,Male,2101,0,1017,1017,2021-06-15,0.452411714039621,0.450199203187251
Jersey,Female,Female,9291,0,4640,4640,2021-06-15,0.5523452826823614,0.5519866761836784
Jersey,Unknown,Unknown,14,0,1,<10,2021-06-15,0.0008322929671244278,0.00011896264572924102
Jersey,Other,Other,2,0,1,<10,2021-06-15,0.00011889899530348969,0.00011896264572924102
Jersey,Male,Male,7514,0,3758,3758,2021-06-15,0.44670352535521074,0.44706162265048777
Peoria,Unknown,Unknown,231,0,118,118,2021-06-15,0.0014820707929399538,0.0015447250258545078
Peoria,Other,Other,2,0,1,<10,2021-06-15,1.2831781757055876e-05,1.3090890049614473e-05
Peoria,Female,Female,84989,0,41490,41490,2021-06-15,0.5452801498752109,0.5431410281585045
Peoria,Male,Male,70635,0,34777,34777,2021-06-15,0.4531864522048209,0.45526188325544253
Greene,Female,Female,4149,0,2074,2074,2021-06-15,0.5644130050333288,0.5625169514510442
Greene,Male,Male,3193,0,1609,1609,2021-06-15,0.43436267174534077,0.43639815568212637
Greene,Other,Other,2,0,1,<10,2021-06-15,0.00027207182696231805,0.00027122321670735016
Greene,Unknown,Unknown,7,0,1,<10,2021-06-15,0.0009522513943681131,0.00027122321670735016
Calhoun,Male,Male,1378,0,686,686,2021-06-15,0.4474025974025974,0.445165476963011
Calhoun,Female,Female,1700,0,854,854,2021-06-15,0.551948051948052,0.5541855937702791
Morgan,Unknown,Unknown,33,0,16,16,2021-06-15,0.00125872525460579,0.0012283126055581146
Morgan,Female,Female,14545,0,7210,7210,2021-06-15,0.5547926917648853,0.5535083678796253
Morgan,Male,Male,11639,0,5800,5800,2021-06-15,0.4439485829805088,0.4452633195148165
Schuyler,Male,Male,2377,0,1207,1207,2021-06-15,0.4669941060903733,0.4647670388910281
Schuyler,Female,Female,2705,0,1386,1386,2021-06-15,0.5314341846758349,0.5336927223719676
Schuyler,Unknown,Unknown,6,0,1,<10,2021-06-15,0.0011787819253438114,0.0003850596842510589
Ford,Male,Male,4516,0,2151,2151,2021-06-15,0.43448143159515107,0.43384429205324726
Ford,Female,Female,5853,0,2795,2795,2021-06-15,0.5631133346161247,0.563735377168213
Ford,Other,Other,2,0,1,<10,2021-06-15,0.00019241870309794111,0.0002016942315449778
Ford,Unknown,Unknown,23,0,11,11,2021-06-15,0.002212815085626323,0.002218636546994756
Knox,Unknown,Unknown,118,0,60,60,2021-06-15,0.0027324935161170804,0.0028362089340581422
Knox,Female,Female,23078,0,11298,11298,2021-06-15,0.5344108929233049,0.5340581422831482
Knox,Male,Male,19988,0,9797,9797,2021-06-15,0.462856613560578,0.46310564878279364
Sangamon,Unknown,Unknown,128,0,65,65,2021-06-15,0.000696640343095369,0.0007186290768380321
Sangamon,Other,Other,17,0,1,<10,2021-06-15,9.25225455673537e-05,1.105583195135434e-05
Sangamon,Female,Female,102446,0,50348,50348,2021-06-15,0.5575626295995951,0.5566390270867883
Sangamon,Male,Male,81148,0,40029,40029,2021-06-15,0.4416482075117422,0.4425538971807629
Hancock,Female,Female,5515,0,2833,2833,2021-06-15,0.5403154697756442,0.5390030441400304
Hancock,Male,Male,4682,0,2418,2418,2021-06-15,0.4587048104242187,0.4600456621004566
Hancock,Unknown,Unknown,8,0,1,<10,2021-06-15,0.0007837758401097286,0.0001902587519025875
Pike,Female,Female,4618,0,2400,2400,2021-06-15,0.5543817527010805,0.5486968449931413
Pike,Unknown,Unknown,10,0,1,<10,2021-06-15,0.0012004801920768306,0.00022862368541380886
Pike,Other,Other,2,0,1,<10,2021-06-15,0.00024009603841536616,0.00022862368541380886
Pike,Male,Male,3700,0,1967,1967,2021-06-15,0.44417767106842737,0.44970278920896206
Piatt,Unknown,Unknown,3,0,1,<10,2021-06-15,0.0002236469360369763,0.00015487068297971194
Piatt,Female,Female,7462,0,3586,3586,2021-06-15,0.556284478902639,0.555366269165247
Piatt,Male,Male,5949,0,2869,2869,2021-06-15,0.44349187416132396,0.44432398946879353
Clinton,Female,Female,15922,0,8064,8064,2021-06-15,0.5322591428762452,0.5312252964426878
Clinton,Male,Male,13972,0,7103,7103,2021-06-15,0.46707227385170824,0.46791831357048747
Clinton,Unknown,Unknown,20,0,13,13,2021-06-15,0.0006685832720465334,0.0008563899868247694
