county_name,race,administered_count,allocated_doses,persons_fully_vaccinated,report_date,administered_count_pct,persons_fully_vaccinated_pct
Illinois,Other race,263365,0,121677,2021-04-24,0.02989229964418442,0.03227688991446997
Illinois,Black or African-American,774157,0,323478,2021-04-24,0.08786791341158802,0.08580803106382404
Illinois,Native Hawaiian or Other Pacif,15189,0,6178,2021-04-24,0.001723972962601398,0.0016388193815724866
Illinois,White,5689771,0,2516506,2021-04-24,0.6457970483503535,0.667545938271844
Illinois,Asian,546722,0,215752,2021-04-24,0.06205371953778138,0.057231880740211585
Illinois,American Indian or Alaska Nati,25478,0,10439,2021-04-24,0.002891789001327172,0.00276912196896005
Illinois,Hispanic or Latino,988655,0,378864,2021-04-24,0.11221373950494996,0.100500107831026
Illinois,Unknown,507126,0,196893,2021-04-24,0.057559517587214205,0.05222921082809188
Adams,Hispanic or Latino,489,0,263,2021-04-24,0.011436188872518066,0.011551300070274068
Adams,Asian,340,0,180,2021-04-24,0.007951542365349985,0.007905832747716092
Adams,Other race,84,0,50,2021-04-24,0.0019644987020276433,0.002196064652143359
Adams,Black or African-American,1095,0,604,2021-04-24,0.025608643794288923,0.026528460997891776
Adams,White,39840,0,21231,2021-04-24,0.9317336701045394,0.9324929725931131
Adams,American Indian or Alaska Nati,54,0,27,2021-04-24,0.0012628920227320563,0.001185874912157414
Adams,Native Hawaiian or Other Pacif,53,0,26,2021-04-24,0.0012395051334222035,0.0011419536191145468
Adams,Unknown,803,0,386,2021-04-24,0.018779672115811875,0.016953619114546733
Champaign,White,110755,0,50195,2021-04-24,0.7157860041878862,0.7374893479474597
Champaign,Black or African-American,10396,0,4463,2021-04-24,0.06718713646821602,0.06557256618965061
Champaign,Native Hawaiian or Other Pacif,171,0,72,2021-04-24,0.0011051366233229068,0.0010578590109018248
Champaign,American Indian or Alaska Nati,368,0,153,2021-04-24,0.0023783057156890625,0.0022479503981663778
Champaign,Other race,4849,0,2140,2021-04-24,0.031338055476565936,0.03144192060180424
Champaign,Asian,16032,0,6077,2021-04-24,0.10361140552697568,0.08928623901736651
Champaign,Unknown,5736,0,2306,2021-04-24,0.03707054778584908,0.033880873321383446
Champaign,Hispanic or Latino,6424,0,2655,2021-04-24,0.04151694542822428,0.03900855102700479
Cass,Unknown,115,0,50,2021-04-24,0.013922518159806295,0.012738853503184714
Cass,Hispanic or Latino,1374,0,614,2021-04-24,0.16634382566585956,0.15643312101910828
Cass,Asian,123,0,60,2021-04-24,0.014891041162227604,0.015286624203821656
Cass,White,6339,0,3052,2021-04-24,0.7674334140435836,0.7775796178343949
Cass,American Indian or Alaska Nati,10,0,4,2021-04-24,0.0012106537530266344,0.001019108280254777
Cass,Other race,41,0,20,2021-04-24,0.004963680387409201,0.005095541401273885
Cass,Black or African-American,234,0,114,2021-04-24,0.028329297820823246,0.029044585987261146
Cass,Native Hawaiian or Other Pacif,24,0,11,2021-04-24,0.0029055690072639223,0.002802547770700637
Putnam,White,3638,0,1669,2021-04-24,0.9352185089974293,0.9386951631046119
Putnam,Asian,9,0,3,2021-04-24,0.002313624678663239,0.001687289088863892
Putnam,Unknown,105,0,49,2021-04-24,0.02699228791773779,0.027559055118110236
Putnam,Hispanic or Latino,86,0,29,2021-04-24,0.02210796915167095,0.016310461192350956
