first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated
789,126,9,924,135,0,0,0,0,0
8661,133,1,8795,134,1,0,0,1,0
3991,45,0,4036,45,0,0,0,0,0
13041,610,1,13652,611,0,0,0,0,0
13405,1077,5,14487,1082,3,0,0,3,0
13228,1871,1,15100,1872,1,0,0,1,0
14264,2874,2,17140,2876,0,1,0,1,1
10531,9119,0,19650,9119,0,0,0,0,0
7525,6532,1,14058,6533,0,0,0,0,0
4502,2823,0,7325,2823,0,0,0,0,0
15231,8649,1,23881,8650,1,0,0,1,0
16734,8376,2,25112,8378,3,0,0,3,0
19508,8490,0,27998,8490,1,1,0,2,1
22841,4248,0,27089,4248,1,0,0,1,0
22086,3363,2,25451,3365,1,0,0,1,0
10701,5170,0,15871,5170,0,0,0,0,0
5104,2562,0,7666,2562,0,1,0,1,1
16221,8551,5,24777,8556,2,0,0,2,0
23116,8572,0,31688,8572,1,2,0,3,2
24390,7649,0,32039,7649,2,0,0,2,0
28680,4547,1,33228,4548,1,3,0,4,3
27259,2711,1,29971,2712,3,0,0,3,0
13197,4476,0,17673,4476,0,3,0,3,3
4320,1559,2,5881,1561,0,0,0,0,0
19971,8380,2,28353,8382,0,2,0,2,2
23362,8224,1,31587,8225,0,0,0,0,0
24824,8909,1,33734,8910,2,0,0,2,0
24830,8296,1,33127,8297,0,0,0,0,0
21832,7001,1,28834,7002,0,0,0,0,0
12040,6714,2,18756,6716,1,0,0,1,0
3354,3458,0,6812,3458,0,0,0,0,0
19899,10488,13,30400,10501,1,0,0,1,0
26934,11707,7,38648,11714,1,2,0,3,2
28328,13568,2,41898,13570,1,3,0,4,3
25664,16707,1,42372,16708,4,1,0,5,1
22235,16734,3,38972,16737,3,0,0,3,0
12936,9756,1,22693,9757,0,0,0,0,0
3064,5404,1,8469,5405,0,0,0,0,0
18047,17622,1,35670,17623,2,1,0,3,1
19555,19594,4,39153,19598,0,2,0,2,2
22613,20623,3,43239,20626,2,1,0,3,1
19913,20562,0,40475,20562,1,3,0,4,3
20113,20753,2,40868,20755,0,4,0,4,4
12014,10497,0,22511,10497,1,0,0,1,0
3976,4093,1,8070,4094,0,0,0,0,0
10897,13430,3,24330,13433,0,1,0,1,1
7445,9108,4,16557,9112,0,0,0,0,0
